Time(sec),IPPos,IPVel,Command
0,0.05,0,0
0.002,0.050006123,0.002449329,0
0.004,0.050024494,0.004899258,0
0.006,0.050055118,0.007350385,0
0.008,0.050098001,0.009803311,0
0.01,0.050153155,0.012258637,0
0.012,0.050220593,0.014716962,0
0.014,0.050300331,0.017178889,0
0.016,0.050392388,0.01964502,0
0.018,0.050496789,0.022115958,0
0.02,0.050613557,0.024592309,0
0.022,0.050742722,0.027074677,0
0.024,0.050884315,0.029563672,0
0.026,0.051038371,0.0320599,0
0.028,0.051204927,0.034563975,0
0.03,0.051384024,0.037076507,0
0.032,0.051575707,0.039598112,0
0.034,0.051780022,0.042129407,0
0.036,0.051997018,0.044671012,0
0.038,0.05222675,0.047223547,0
0.04,0.052469273,0.049787637,0
0.042,0.052724647,0.052363911,0
0.044,0.052992934,0.054952997,0
0.046,0.053274199,0.057555529,0
0.048,0.053568512,0.060172144,0
0.05,0.053875945,0.062803482,0
0.052,0.054196573,0.065450187,0
0.054,0.054530474,0.068112905,0
0.056,0.05487773,0.070792288,0
0.058,0.055238425,0.073488991,0
0.06,0.055612649,0.076203674,0
0.062,0.056000493,0.078936999,0
0.064,0.056402052,0.081689637,0
0.066,0.056817423,0.084462259,0
0.068,0.057246709,0.087255544,0
0.07,0.057690014,0.090070174,0
0.072,0.058147447,0.092906836,0
0.074,0.05861912,0.095766226,0
0.076,0.059105148,0.098649041,0
0.078,0.059605651,0.101555985,0
0.08,0.06012075,0.104487769,0
0.082,0.060650571,0.10744511,0
0.084,0.061195245,0.11042873,0
0.086,0.061754903,0.113439358,0
0.088,0.062329684,0.116477728,0
0.09,0.062919728,0.119544584,0
0.092,0.063525179,0.122640673,0
0.094,0.064146185,0.125766753,0
0.096,0.064782898,0.128923586,0
0.098,0.065435473,0.132111943,0
0.1,0.066104071,0.135332601,0
0.102,0.066788854,0.138586348,0
0.104,0.067489991,0.141873978,0
0.106,0.068207652,0.145196291,0
0.108,0.068942013,0.148554099,0
0.11,0.069693253,0.151948221,0
0.112,0.070461557,0.155379484,0
0.114,0.071247112,0.158848725,0
0.116,0.072050109,0.16235679,0
0.118,0.072870746,0.165904535,0
0.12,0.073709222,0.169492823,0
0.122,0.074565743,0.173122529,0
0.124,0.075440518,0.176794537,0
0.126,0.07633376,0.180509742,0
0.128,0.077245689,0.184269049,0
0.13,0.078176526,0.188073372,0
0.132,0.079126499,0.191923639,0
0.134,0.08009584,0.195820785,0
0.136,0.081084787,0.199765759,0
0.138,0.082093579,0.203759521,0
0.14,0.083122465,0.207803042,0
0.142,0.084171694,0.211897305,0
0.144,0.085241524,0.216043306,0
0.146,0.086332215,0.220242051,0
0.148,0.087444034,0.224494561,0
0.15,0.088577252,0.228801869,0
0.152,0.089732146,0.233165021,0
0.154,0.090908997,0.237585075,0
0.156,0.092108093,0.242063104,0
0.158,0.093329727,0.246600194,0
0.16,0.094574195,0.251197446,0
0.162,0.095841803,0.255855973,0
0.164,0.097132859,0.260576905,0
0.166,0.098447678,0.265361385,0
0.168,0.099786581,0.270210572,0
0.17,0.101149894,0.275125639,0
0.172,0.102537949,0.280107776,0
0.174,0.103951085,0.285158187,0
0.176,0.105389647,0.290278093,0
0.178,0.106853984,0.295468731,0
0.18,0.108344454,0.300731354,0
0.182,0.10986142,0.306067234,0
0.184,0.111405251,0.311477657,0
0.186,0.112976323,0.316963929,0
0.188,0.114575018,0.322527371,0
0.19,0.116201727,0.328169323,0
0.192,0.117856845,0.333891144,0
0.194,0.119540774,0.339694212,0
0.196,0.121253925,0.34557992,0
0.198,0.122996713,0.351549684,0
0.2,0.124769564,0.357604937,0
0.202,0.126572908,0.363747133,0
0.204,0.128407183,0.369977745,0
0.206,0.130272835,0.376298266,0
0.208,0.132170318,0.38271021,0
0.21,0.134100092,0.389215111,0
0.212,0.136062626,0.395814525,0
0.214,0.138058397,0.402510029,0
0.216,0.140087889,0.409303222,0
0.218,0.142151595,0.416195724,0
0.22,0.144250015,0.423189177,0
0.222,0.146383658,0.430285247,0
0.224,0.148553041,0.437485622,0
0.226,0.150758691,0.444792013,0
0.228,0.153001141,0.452206156,0
0.23,0.155280935,0.459729807,0
0.232,0.157598625,0.467364751,0
0.234,0.159954771,0.475112794,0
0.236,0.162349944,0.482975767,0
0.238,0.164784723,0.490955527,0
0.24,0.167259697,0.499053956,0
0.242,0.169775464,0.507272962,0
0.244,0.172332631,0.515614477,0
0.246,0.174931816,0.524080462,0
0.248,0.177573646,0.532672901,0
0.25,0.180258759,0.541393809,0
0.252,0.182987802,0.550245225,0
0.254,0.185761432,0.559229216,0
0.256,0.188580318,0.568347877,0
0.258,0.191445139,0.577603331,0
0.26,0.194356583,0.586997729,0
0.262,0.197315352,0.59653325,0
0.264,0.200322155,0.606212104,0
0.266,0.203377715,0.616036526,0
0.268,0.206482766,0.626008784,0
0.27,0.209638053,0.636131175,0
0.272,0.212844332,0.646406023,0
0.274,0.216102371,0.656835686,0
0.276,0.219412951,0.667422548,0
0.278,0.222776863,0.678169028,0
0.28,0.226194911,0.689077572,0
0.282,0.229667913,0.70015066,0
0.284,0.233196696,0.711390799,0
0.286,0.236782104,0.722800532,0
0.288,0.240424989,0.73438243,0
0.29,0.244126219,0.746139097,0
0.292,0.247886675,0.758073168,0
0.294,0.251707251,0.770187311,0
0.296,0.255588853,0.782484226,0
0.298,0.259532402,0.794966642,0
0.3,0.263538833,0.807637325,0
0.302,0.267609094,0.82049907,0
0.304,0.271744147,0.833554704,0
0.306,0.275944969,0.846807088,0
0.308,0.280212551,0.860259113,0
0.31,0.284547898,0.873913705,0
0.312,0.28895203,0.88777382,0
0.314,0.293425984,0.901842446,0
0.316,0.297970807,0.916122604,0
0.318,0.302587567,0.930617346,0
0.32,0.307277344,0.945329756,0
0.322,0.312041233,0.960262948,0
0.324,0.316880346,0.975420069,0
0.326,0.321795812,0.990804296,0
0.328,0.326788773,1.006418835,0
0.33,0.33186039,1.022266924,0
0.332,0.337011837,1.038351829,0
0.334,0.342244308,1.054676847,0
0.336,0.347559011,1.071245302,0
0.338,0.352957172,1.088060547,0
0.34,0.358440034,1.105125961,0
0.342,0.364008855,1.122444951,0
0.344,0.369664912,1.140020949,0
0.346,0.375409498,1.157857414,0
0.348,0.381243926,1.175957827,0
0.35,0.387169522,1.194325694,0
0.352,0.393187634,1.212964541,0
0.354,0.399299625,1.231877917,0
0.356,0.405506877,1.251069391,0
0.358,0.411810789,1.270542549,0
0.36,0.418212778,1.290300997,0
0.362,0.42471428,1.310348355,0
0.364,0.431316749,1.330688257,0
0.366,0.438021656,1.351324351,0
0.368,0.444830492,1.372260295,0
0.37,0.451744765,1.393499755,0
0.372,0.458766002,1.415046408,0
0.374,0.465895747,1.436903931,0
0.376,0.473135565,1.459076007,0
0.378,0.480487038,1.481566318,0
0.38,0.487951765,1.504378545,0
0.382,0.495531366,1.527516363,0
0.384,0.503227477,1.55098344,0
0.386,0.511041755,1.574783433,0
0.388,0.518975873,1.598919987,0
0.39,0.527031522,1.623396729,0
0.392,0.535210413,1.648217265,0
0.394,0.543514274,1.673385179,0
0.396,0.55194485,1.698904026,0
0.398,0.560503905,1.72477733,0
0.4,0.569193219,1.751008579,0
0.402,0.578014593,1.777601221,0
0.404,0.58696984,1.804558659,0
0.406,0.596060793,1.831884246,0
0.408,0.605289301,1.859581282,0
0.41,0.61465723,1.887653005,0
0.412,0.624166461,1.91610259,0
0.414,0.633818891,1.944933139,0
0.416,0.643616432,1.974147678,0
0.418,0.653561013,2.003749147,0
0.42,0.663654574,2.033740401,0
0.422,0.673899071,2.064124193,0
0.424,0.684296474,2.094903175,0
0.426,0.694848766,2.126079889,0
0.428,0.70555794,2.157656754,0
0.43,0.716426004,2.189636065,0
0.432,0.727454975,2.222019981,0
0.434,0.738646881,2.254810518,0
0.436,0.750003761,2.288009539,0
0.438,0.76152766,2.321618742,0
0.44,0.773220635,2.355639657,0
0.442,0.785084745,2.390073632,0
0.444,0.797122061,2.424921821,0
0.446,0.809334656,2.460185176,0
0.448,0.821724606,2.495864438,0
0.45,0.834293994,2.53196012,0
0.452,0.847044902,2.5684725,0
0.454,0.859979414,2.605401608,0
0.456,0.873099612,2.642747212,0
0.458,0.886407579,2.680508806,0
0.46,0.899905392,2.718685598,0
0.462,0.913595125,2.757276496,0
0.464,0.927478845,2.796280095,0
0.466,0.941558611,2.835694659,0
0.468,0.955836473,2.875518113,0
0.47,0.97031447,2.915748023,0
0.472,0.984994626,2.956381582,0
0.474,0.999878953,2.997415598,0
0.476,1.014969444,3.038846475,0
0.478,1.030268072,3.080670197,0
0.48,1.045776793,3.122882315,0
0.482,1.061497535,3.165477927,0
0.484,1.077432202,3.208451664,0
0.486,1.093582672,3.251797674,0
0.488,1.109950789,3.295509603,0
0.49,1.126538366,3.339580579,0
0.492,1.143347181,3.384003196,0
0.494,1.160378971,3.428769498,0
0.496,1.177635435,3.473870957,0
0.498,1.195118224,3.519298464,0
0.5,1.212828946,3.565042306,0
0.502,1.230769157,3.611092153,0
0.504,1.24894036,3.657437041,0
0.506,1.267344,3.704065354,0
0.508,1.285981465,3.750964813,0
0.51,1.304854079,3.798122458,0
0.512,1.323963097,3.845524631,0
0.514,1.343309709,3.893156968,0
0.516,1.362895026,3.941004381,0
0.518,1.382720085,3.989051048,0
0.52,1.402785841,4.037280398,0
0.522,1.423093164,4.085675106,0
0.524,1.443642837,4.134217076,0
0.526,1.464435549,4.182887439,0
0.528,1.485471893,4.231666541,0
0.53,1.506752362,4.28053394,0
0.532,1.528277344,4.329468398,0
0.534,1.550047121,4.378447881,0
0.536,1.57206186,4.427449557,0